Study	cluster	gene	hgnc_symbol	gene_biotype	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Responder_CPM	Non_responder_CPM	ensembl_core
Pozniak	malignant cell	ENSG00000092140	G2E3	protein_coding	0.848767210922805	0.14235124516659203	0.267	0.295	1	30	25	ENSG00000092140
Pozniak	malignant cell	ENSG00000214309	MBLAC1	protein_coding	0.8487934777215298	0.7003600593538968	0.058	0.056	1	4	3	ENSG00000214309
Pozniak	malignant cell	ENSG00000181381	DDX60L	protein_coding	0.8488658441600212	0.5564733451958459	0.221	0.23	1	27	17	ENSG00000181381
Pozniak	malignant cell	ENSG00000260852	FBXL19-AS1	lncRNA	0.8490711125327934	0.27409548039481635	0.066	0.07	1	5	4	ENSG00000260852
Pozniak	malignant cell	ENSG00000115486	GGCX	protein_coding	0.8494395106647942	0.14133936228815203	0.341	0.389	1	38	30	ENSG00000115486
Pozniak	malignant cell	ENSG00000163376	KBTBD8	protein_coding	0.8495907734375473	0.17030188714289274	0.012	0.01	1	1	1	ENSG00000163376
Pozniak	malignant cell	ENSG00000274847	MAFIP	protein_coding	0.8499287919112107	-0.1423260335205052	0.074	0.076	1	6	4	ENSG00000274847
Pozniak	malignant cell	ENSG00000099377	HSD3B7	protein_coding	0.8499651571270338	0.37650668946512456	0.202	0.219	1	18	16	ENSG00000099377
Pozniak	malignant cell	ENSG00000152240	HAUS1	protein_coding	0.8501544537625001	0.41534537861773213	0.256	0.291	1	24	22	ENSG00000152240
Pozniak	malignant cell	ENSG00000102144	PGK1	protein_coding	0.8504754464496767	0.06718537921507872	0.853	0.899	1	418	377	ENSG00000102144
Pozniak	malignant cell	ENSG00000033867	SLC4A7	protein_coding	0.8506905447852777	0.17929972631735902	0.403	0.462	1	56	42	ENSG00000033867
Pozniak	malignant cell	ENSG00000152620	NADK2	protein_coding	0.8508518319135384	0.20980485507756086	0.163	0.17	1	13	11	ENSG00000152620
Pozniak	malignant cell	ENSG00000090432	MUL1	protein_coding	0.8512037842300417	0.3476514994397131	0.283	0.294	1	29	22	ENSG00000090432
Pozniak	malignant cell	ENSG00000116266	STXBP3	protein_coding	0.8519405691697026	0.17722756334708256	0.318	0.335	1	36	26	ENSG00000116266
Pozniak	malignant cell	ENSG00000124193	SRSF6	protein_coding	0.8520478558525564	0.12736299083377933	0.473	0.53	1	62	54	ENSG00000124193
Pozniak	malignant cell	ENSG00000267041	ZNF850	protein_coding	0.8524051077950783	0.9914714053270379	0.081	0.089	1	7	6	ENSG00000267041
Pozniak	malignant cell	ENSG00000154721	JAM2	protein_coding	0.8524422518462864	-0.48368155239757726	0.012	0.01	1	1	1	ENSG00000154721
Pozniak	malignant cell	ENSG00000160360	GPSM1	protein_coding	0.8525374157869365	0.38731317346290206	0.186	0.189	1	15	12	ENSG00000160360
Pozniak	malignant cell	ENSG00000116478	HDAC1	protein_coding	0.8533645517942532	0.17483971484657068	0.543	0.599	1	70	67	ENSG00000116478
Pozniak	malignant cell	ENSG00000165389	SPTSSA	protein_coding	0.8533973417904436	0.10132623879373685	0.628	0.686	1	105	101	ENSG00000165389
Pozniak	malignant cell	ENSG00000250742	LINC02381	lncRNA	0.8536204100095375	0.7048716069732022	0.124	0.122	1	10	7	ENSG00000250742
Pozniak	malignant cell	ENSG00000148690	FRA10AC1	protein_coding	0.8537313154889387	0.12569530037383458	0.229	0.241	1	20	18	ENSG00000148690
Pozniak	malignant cell	ENSG00000127564	PKMYT1	protein_coding	0.8537607445820912	0.81590562385984855	0.07	0.075	1	15	9	ENSG00000127564
Pozniak	malignant cell	ENSG00000160199	PKNOX1	protein_coding	0.8539632252703352	0.329362511686496	0.225	0.247	1	26	17	ENSG00000160199
Pozniak	malignant cell	ENSG00000155229	MMS19	protein_coding	0.8540759283343361	0.34181768028291337	0.248	0.276	1	25	19	ENSG00000155229
Pozniak	malignant cell	ENSG00000155465	SLC7A7	protein_coding	0.8547800862269961	0.5550031428914881	0.023	0.025	1	2	2	ENSG00000155465
Pozniak	malignant cell	ENSG00000106258	CYP3A5	protein_coding	0.8553938079120422	0.9397452307554	0.035	0.038	1	3	2	ENSG00000106258
Pozniak	malignant cell	ENSG00000007255	TRAPPC6A	protein_coding	0.8555676953682523	0.3170679621684219	0.477	0.511	1	57	53	ENSG00000007255
Pozniak	malignant cell	ENSG00000185379	RAD51D	protein_coding	0.8559158924121768	0.4185000608263696	0.143	0.154	1	13	10	ENSG00000185379
Pozniak	malignant cell	ENSG00000186862	PDZD7	protein_coding	0.8559971273341658	0.7295219610728019	0.027	0.025	1	2	1	ENSG00000186862
Pozniak	malignant cell	ENSG00000107902	LHPP	protein_coding	0.8572310607206578	0.332106549792218	0.116	0.123	1	9	7	ENSG00000107902
Pozniak	malignant cell	ENSG00000222009	BTBD19	protein_coding	0.8573717677039787	0.4215526325151875	0.163	0.175	1	15	12	ENSG00000222009
Pozniak	malignant cell	ENSG00000168917	SLC35G2	protein_coding	0.8573838012343801	0.9770950503383231	0.054	0.052	1	6	3	ENSG00000168917
Pozniak	malignant cell	ENSG00000250506	CDK3	protein_coding	0.8574172112121627	0.9055991153715848	0.043	0.041	1	3	2	ENSG00000250506
Pozniak	malignant cell	ENSG00000090615	GOLGA3	protein_coding	0.8574922843856254	0.16033919129016527	0.422	0.46	1	60	48	ENSG00000090615
Pozniak	malignant cell	ENSG00000129173	E2F8	protein_coding	0.857668170591139	0.08284260300508706	0.027	0.025	1	3	2	ENSG00000129173
Pozniak	malignant cell	ENSG00000160703	NLRX1	protein_coding	0.8579781970148826	0.6518724637367477	0.078	0.076	1	6	4	ENSG00000160703
Pozniak	malignant cell	ENSG00000105131	EPHX3	protein_coding	0.8582305614318464	0.29604183163535147	0.016	0.014	1	1	1	ENSG00000105131
Pozniak	malignant cell	ENSG00000181617	FDCSP	protein_coding	0.8582731839813484	-3.8377852812805964	0.012	0.013	1	2	21	ENSG00000181617
Pozniak	malignant cell	ENSG00000117133	RPF1	protein_coding	0.8582984828325327	0.11967080512324935	0.43	0.498	1	60	45	ENSG00000117133
Pozniak	malignant cell	ENSG00000124151	NCOA3	protein_coding	0.8584488856050241	0.29576914473934446	0.318	0.341	1	32	25	ENSG00000124151
Pozniak	malignant cell	ENSG00000232300	FAM215B	lncRNA	0.8585055001289474	0.3616233024542983	0.105	0.11	1	8	7	ENSG00000232300
Pozniak	malignant cell	ENSG00000108946	PRKAR1A	protein_coding	0.8589594442904251	-0.015122064156409598	0.798	0.856	1	240	224	ENSG00000108946
Pozniak	malignant cell	ENSG00000011009	LYPLA2	protein_coding	0.8591961776961772	0.2742733645221349	0.484	0.54	1	60	51	ENSG00000011009
Pozniak	malignant cell	ENSG00000141349	G6PC3	protein_coding	0.8611215662333364	0.23363337842614418	0.55	0.624	1	80	77	ENSG00000141349
Pozniak	malignant cell	ENSG00000106638	TBL2	protein_coding	0.8614709333880974	0.3589442679096304	0.372	0.406	1	46	33	ENSG00000106638
Pozniak	malignant cell	ENSG00000197956	S100A6	protein_coding	0.8617428711590539	0.30180535706526435	0.973	0.984	1	5213	3523	ENSG00000197956
Pozniak	malignant cell	ENSG00000183077	AFMID	protein_coding	0.8620335568576941	0.6708461407528488	0.244	0.263	1	24	18	ENSG00000183077
Pozniak	malignant cell	ENSG00000167632	TRAPPC9	protein_coding	0.8626711198694965	0.6551839905454759	0.209	0.224	1	18	15	ENSG00000167632
Pozniak	malignant cell	ENSG00000163634	THOC7	protein_coding	0.8631813498365056	0.11914858662755098	0.674	0.76	1	121	116	ENSG00000163634
Pozniak	malignant cell	ENSG00000113522	RAD50	protein_coding	0.8633220776046929	0.513485121773654	0.174	0.182	1	15	12	ENSG00000113522
Pozniak	malignant cell	ENSG00000099256	PRTFDC1	protein_coding	0.8636788313361825	-0.42834914636074384	0.012	0.013	1	1	1	ENSG00000099256
Pozniak	malignant cell	ENSG00000141456	PELP1	protein_coding	0.863854513737119	0.31246637357218177	0.403	0.457	1	42	40	ENSG00000141456
Pozniak	malignant cell	ENSG00000174695	TMEM167A	protein_coding	0.8639561007369336	0.022789663986132136	0.624	0.671	1	108	106	ENSG00000174695
Pozniak	malignant cell	ENSG00000104880	ARHGEF18	protein_coding	0.864019640167818	0.4252561928508394	0.043	0.041	1	3	2	ENSG00000104880
Pozniak	malignant cell	ENSG00000058272	PPP1R12A	protein_coding	0.8645558565185276	0.13389490177057511	0.601	0.708	1	115	105	ENSG00000058272
Pozniak	malignant cell	ENSG00000078043	PIAS2	protein_coding	0.8649880768738726	0.29785381709515013	0.364	0.411	1	46	33	ENSG00000078043
Pozniak	malignant cell	ENSG00000206418	RAB12	protein_coding	0.8655438604480982	0.012069976649305758	0.163	0.161	1	15	11	ENSG00000206418
Pozniak	malignant cell	ENSG00000158623	COPG2	protein_coding	0.8656226507825235	0.5608994260393789	0.202	0.222	1	19	15	ENSG00000158623
Pozniak	malignant cell	ENSG00000141568	FOXK2	protein_coding	0.865625640615582	0.4847365725277455	0.271	0.289	1	27	21	ENSG00000141568
Pozniak	malignant cell	ENSG00000144591	GMPPA	protein_coding	0.8661706629145927	0.282717164949301	0.333	0.384	1	36	31	ENSG00000144591
Pozniak	malignant cell	ENSG00000103647	CORO2B	protein_coding	0.8662939128522601	0.06278117197312305	0.182	0.187	1	19	16	ENSG00000103647
